product_category_name,product_id,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,product_type
moveis_cozinha_area_de_servico_jantar_e_jardim,003c0b8f6580c850bd2e32044d2ac307,55,705,2,21100,100,20,60,kitchen_dining_laundry_garden_furniture,Non_Tech
esporte_lazer,003dbcabcf8e3231de657c7d9f9a5eba,43,1213,1,1800,30,22,22,sports_leisure,Non_Tech
moveis_decoracao,004154251837f6ac124ad4374b3a8148,51,1470,3,150,35,2,25,furniture_decor,Non_Tech
beleza_saude,0042f1a9a7e0edd1400c6cd0fda065f8,60,1883,3,175,23,11,13,health_beauty,Non_Tech
esporte_lazer,0043c62d00db47eff6a6bc4cf6bfaeda,36,1105,1,380,18,12,14,sports_leisure,Non_Tech
construcao_ferramentas_construcao,0043d1a25ef08fb6f41b8fa6f91742ab,59,1691,1,20400,30,30,30,construction_tools_construction,Non_Tech
esporte_lazer,0044d70d4e53450c0fbb8255446a797b,51,695,1,200,20,18,18,sports_leisure,Non_Tech
moveis_decoracao,004552d98c5d3653af8b4dbe8def0048,50,319,1,900,100,11,12,furniture_decor,Non_Tech
utilidades_domesticas,004636c889c7c3dad6631f136b7fa082,46,647,1,550,30,10,25,housewares,Non_Tech
moveis_quarto,004ffcbfa5aac82212a95bc972ea8a85,44,776,2,10000,65,35,35,furniture_bedroom,Non_Tech
perfumaria,005030ef108f58b46b78116f754d8d38,54,942,1,50,16,5,11,perfumery,Non_Tech
fashion_roupa_masculina,005c6b24cc96dca3e2c01e824401030e,33,384,1,400,17,7,20,fashion_male_clothing,Non_Tech
esporte_lazer,0060b415594c5e1200324ef1a18493c4,59,3029,1,1200,20,20,20,sports_leisure,Non_Tech
moveis_decoracao,00636f9286f69c9f1bdabe76e670fb50,60,382,1,500,25,2,17,furniture_decor,Non_Tech
construcao_ferramentas_seguranca,006508eabcc19ae52ed87323124ad0e9,50,984,2,246,22,15,19,construction_tools_safety,Non_Tech
beleza_saude,006619bbed68b000c8ba3f8725d5409e,45,569,1,150,16,7,15,health_beauty,Non_Tech
fashion_bolsas_e_acessorios,0067f97995b0c3a86739734dc87ee6b6,59,412,1,200,16,2,11,fashion_bags_accessories,Non_Tech
esporte_lazer,006baa9a5b8f95895f15273a35bc2664,33,223,2,950,60,15,15,sports_leisure,Non_Tech
automotivo,006c67546bfe73c33b83f6bd1ad58c36,59,703,6,4550,47,19,23,auto,Non_Tech
fraldas_higiene,00716e5593e8eea55dbe7a29b72a70bc,49,326,1,250,20,20,20,diapers_and_hygiene,Non_Tech
brinquedos,00738f5a17ec4450e88915357b085c1e,37,670,2,600,17,15,22,toys,Non_Tech
esporte_lazer,0075c14603d80515e20908c156ceb47b,50,329,2,150,16,18,16,sports_leisure,Non_Tech
utilidades_domesticas,007c63ae4b346920756b5adcad8095de,48,808,1,2800,30,30,30,housewares,Non_Tech
construcao_ferramentas_seguranca,0081787b18cce4acc2d1adec4520d7ba,56,841,1,1340,32,14,27,construction_tools_safety,Non_Tech
outros,0082684bb4a60a862baaf7a60a5845ed,NULL,NULL,NULL,500,24,4,15,others,Non_Tech
cama_mesa_banho,0085dddda27567189f1dfd1eda7c286e,58,593,1,1800,40,8,30,bed_bath_table,Non_Tech
cama_mesa_banho,008686d56f4c85b987a4c24a286834c1,44,216,1,2200,37,10,32,bed_bath_table,Non_Tech
beleza_saude,00878d953636afec00d3e85d55a12e7f,59,1631,4,2550,38,42,25,health_beauty,Non_Tech
beleza_saude,008b0ec3de3638637099f97add750136,48,516,1,690,17,17,13,health_beauty,Non_Tech
relogios_presentes,008b51e6be49ee039854b5e35c331b02,57,676,2,633,19,12,17,watches_gifts,Non_Tech
esporte_lazer,008cff0e5792219fae03e570f980b330,59,1735,5,1550,40,20,20,sports_leisure,Non_Tech
cama_mesa_banho,00905d58c87afcbce21420b3712cacaa,59,253,1,3875,46,12,43,bed_bath_table,Non_Tech
informatica_acessorios,00917855135d67fb060dcd81863166a4,55,197,1,1133,16,16,11,computers_accessories,Non_Tech
utilidades_domesticas,0091d85023824de2d33252310c952307,39,169,4,450,16,24,11,housewares,Non_Tech
utilidades_domesticas,00929aaa7751a77220db9caa1ae6d3ab,56,279,2,2800,50,35,15,housewares,Non_Tech
beleza_saude,0092a9e1c8a471753ed7ffa7eef5086e,48,1411,1,350,16,16,16,health_beauty,Non_Tech
moveis_decoracao,00989337a1916a0055eedd1fdb35eb53,55,373,1,800,40,5,11,furniture_decor,Non_Tech
brinquedos,009af1277432f1a05742df69cdf72d1e,58,916,3,700,20,35,20,toys,Non_Tech
perfumaria,009c09f439988bc06a93d6b8186dce73,39,991,3,150,20,20,20,perfumery,Non_Tech
automotivo,009df2b0bc078648fc4f5898de8cabff,45,916,1,23250,50,20,20,auto,Non_Tech
informatica_acessorios,00a0db09dc7c94d512ec51900141ed69,57,338,3,400,23,7,15,computers_accessories,Non_Tech
informatica_acessorios,00a8c742ae1da97e9064205459977e6c,38,581,1,150,16,23,13,computers_accessories,Non_Tech
telefonia,00a985c524adbb97a4211e4ce17aabec,58,734,3,250,17,4,12,telephony,Tech
moveis_decoracao,00aa70fd749f3b9ce8ca4bc914a9e7b1,26,345,1,700,16,16,16,furniture_decor,Non_Tech
outros,00ab8a8b9fe219511dc3f178c6d79698,NULL,NULL,NULL,2100,50,30,30,others,Non_Tech
esporte_lazer,00ae7076313576f94d9107599d79a978,38,440,1,600,22,33,16,sports_leisure,Non_Tech
automotivo,00b264091d1c8df03976c3f3b176b35c,59,351,2,250,16,16,16,auto,Non_Tech
utilidades_domesticas,00b4155166f994ba9da3cf001eb80505,53,786,4,1125,28,15,23,housewares,Non_Tech
telefonia,00b782074a5ec523bf31951b4935d572,57,319,2,250,16,5,11,telephony,Tech
utilidades_domesticas,00ba6d766f0b1d7b78a5ce3e1e033263,52,418,1,7850,28,62,28,housewares,Non_Tech
perfumaria,00baba5b58e274d0332a0c8a0a66f877,27,406,4,200,18,7,12,perfumery,Non_Tech
automotivo,00bb62ea3729537a687c3fddcd123662,36,1241,3,12100,60,60,20,auto,Non_Tech
artigos_de_natal,00bc6e6d4ceb98ec7ed058b0a243a8b9,34,249,1,200,16,11,11,christmas_supplies,Non_Tech
cama_mesa_banho,00be617b58175bf207fd35910d5097a4,52,396,1,900,45,15,35,bed_bath_table,Non_Tech
cool_stuff,00c1e6d55fe174bfbb179257255e49bb,56,1027,1,187,17,13,14,cool_stuff,Non_Tech
perfumaria,00c3e35b00dd00ab864d4a94c1b97e66,58,596,4,512,30,12,18,perfumery,Non_Tech
papelaria,00c407e056c74eb8040a1233ca6da16f,56,183,2,650,35,15,28,stationery,Non_Tech
brinquedos,00c744ca2f3b0e76ce227b146095d3f9,41,569,1,350,17,15,17,toys,Non_Tech
telefonia_fixa,00c794371af4dc7c5b6ba3ef913556bb,63,326,4,150,16,4,13,fixed_telephony,Non_Tech
relogios_presentes,00cc15e0cef551848c797ab75ba904b1,47,596,1,300,19,10,15,watches_gifts,Non_Tech
livros_interesse_geral,00cf06147ed4880ec5fbba2adbb20e1d,30,253,1,350,24,5,17,books_general_interest,Non_Tech
casa_construcao,00d2add85b1f5aba6bb3d5d977314e25,60,935,1,9050,56,26,28,home_construction,Non_Tech
cama_mesa_banho,00d2fa6f2a87633084c8e0400d41a65a,41,312,1,18550,54,35,45,bed_bath_table,Non_Tech
consoles_games,00d363b8c14bb9a6c73febc4c42acf47,49,998,2,200,16,16,11,consoles_games,Tech
utilidades_domesticas,00d51a45854ebce28acda79f414388ee,52,857,1,225,16,4,14,housewares,Non_Tech
outros,00d62b338366db4c4aec8547ea8f928e,NULL,NULL,NULL,400,24,4,15,others,Non_Tech
moveis_decoracao,00d62d0388b0786d730a1aaed91c0ae0,53,646,1,300,16,30,20,furniture_decor,Non_Tech
moveis_decoracao,00d93a09990b319a7c946ed7a8c67656,54,197,8,3400,42,16,26,furniture_decor,Non_Tech
informatica_acessorios,00dc8a1b2de45a7fca5921544e5f351d,42,1202,6,1550,42,17,17,computers_accessories,Non_Tech
telefonia,00ddaddbe03b7103d80daee96892363f,59,600,1,200,19,4,11,telephony,Tech
automotivo,00de606a5dda99c2499f94ef18282977,59,642,5,1650,60,8,33,auto,Non_Tech
telefonia,00de7f393d962717eeeb2d7131a40dba,47,816,2,300,16,5,12,telephony,Tech
relogios_presentes,00df6fc5f33cc3f7ceec4ec6337d9cd7,51,314,3,500,20,15,17,watches_gifts,Non_Tech
telefonia,00e040fed5fb843e28740181ddca3521,58,477,3,400,17,4,12,telephony,Tech
moveis_decoracao,00e2784f846618842151d40ec730ece0,42,914,1,800,21,34,34,furniture_decor,Non_Tech
esporte_lazer,00e32638060f6356e6f00749dc466b5c,45,561,2,7050,20,105,20,sports_leisure,Non_Tech
moveis_decoracao,00e41fb1706dc56cc3bbdd2c1d6df362,55,314,1,500,40,15,40,furniture_decor,Non_Tech
moveis_decoracao,00e437f5e55fc5a62e4ef2f84f41b5fb,52,139,1,550,40,5,30,furniture_decor,Non_Tech
informatica_acessorios,00e4ded51458037ecda216453eb79d3c,25,978,3,1400,25,15,25,computers_accessories,Non_Tech
beleza_saude,00e62bcf9337ca4c5d5b4c5c8188f8d2,50,827,3,700,41,9,11,health_beauty,Non_Tech
esporte_lazer,00e928700d549c4173b1bf631ca30abf,51,294,2,300,20,3,15,sports_leisure,Non_Tech
esporte_lazer,00efb9a8ce0cf3b2f37892ab003edc10,49,753,4,2217,49,35,47,sports_leisure,Non_Tech
informatica_acessorios,00f179926ae5965cd6ff548d765d8a61,57,674,3,133,17,6,12,computers_accessories,Non_Tech
utilidades_domesticas,00f2fa1c4397392f20e5627e3220accd,54,691,3,7850,25,52,37,housewares,Non_Tech
moveis_decoracao,00f42e56821b1779fbf397fe72639054,34,655,1,750,50,10,50,furniture_decor,Non_Tech
eletronicos,00f8c37377b038c9c791128d2f928111,32,302,1,100,19,15,17,electronics,Tech
fashion_bolsas_e_acessorios,00faa46f36261af8bbf3a4d37fa4841b,49,293,1,100,21,9,14,fashion_bags_accessories,Non_Tech
telefonia,00fd6afd95fe066db8433832180a5369,46,1654,4,299,14,11,13,telephony,Tech
esporte_lazer,00fefaf41156bb4b0d850fb27da97897,12,3231,3,100,20,18,18,sports_leisure,Non_Tech
utilidades_domesticas,00ffe57f0110d73fd84d162252b2c784,56,1877,1,16000,16,2,11,housewares,Non_Tech
brinquedos,0103208eb1ea5a1a7359c0251a65e37a,53,2209,7,1600,35,17,35,toys,Non_Tech
outros,0103863bf3441460142ec23c74388e4c,NULL,NULL,NULL,200,16,2,11,others,Non_Tech
pc_gamer,0105b5323d24fc655f73052694dbbb3a,59,621,4,2839,19,16,18,pc_gamer,Non_Tech
brinquedos,01078a94cb29913dfda1a962fd4e3400,40,302,1,268,32,15,30,toys,Non_Tech
moveis_decoracao,01084e8138d03dc691daa19aa6c12471,60,926,4,1390,18,11,25,furniture_decor,Non_Tech
informatica_acessorios,010951987d78f9d52fbf50a43b690ba1,55,441,1,1100,40,20,20,computers_accessories,Non_Tech
telefonia,010a3a47c14f1295796c08419f32cef6,41,285,1,200,19,5,11,telephony,Tech
moveis_decoracao,010c38887e6a41a5acfea2687515b254,59,438,1,1400,30,5,20,furniture_decor,Non_Tech
brinquedos,010c79af51e82f60de174b6da6060c0a,60,678,1,192,20,16,12,toys,Non_Tech
papelaria,010c988805cc0a13b9ba455ffc6c8510,39,221,2,200,24,7,14,stationery,Non_Tech
informatica_acessorios,010f24a605e8431fc68562e597f80d63,20,153,3,500,16,15,15,computers_accessories,Non_Tech
moveis_decoracao,0110573bc9195aa810a4384f189f48f5,63,213,1,3900,63,11,43,furniture_decor,Non_Tech
automotivo,0110986ff84d644fee920efb18577292,56,660,5,2900,72,4,44,auto,Non_Tech
brinquedos,0111ab6fb41da433e0f17d3f4ec2c8f5,27,427,1,500,23,8,25,toys,Non_Tech
cool_stuff,0112c32bab2fb9a2147b92cdd5f1d3e7,53,442,4,800,33,15,30,cool_stuff,Non_Tech
bebes,011377a7487fef47fc9e73fa5f7322a6,52,559,1,1875,29,22,26,baby,Non_Tech
esporte_lazer,0116f3b947377cccf0135f8071b54d74,55,1381,4,1050,40,20,20,sports_leisure,Non_Tech
brinquedos,01175f0c6182b4410c669417d7e8268f,39,326,4,600,42,7,42,toys,Non_Tech
esporte_lazer,011967a30ceeaa86acb72e79664544ad,55,468,1,4100,17,105,12,sports_leisure,Non_Tech
brinquedos,011ae9863bd5b15e528a16dd8ceb4772,56,1784,6,1575,19,51,20,toys,Non_Tech
informatica_acessorios,011bb8a6af5178b33871a83c4f297d32,42,710,1,600,36,9,13,computers_accessories,Non_Tech
esporte_lazer,011be89e68e286ac07f51c22ecbb04aa,59,1301,6,450,25,15,28,sports_leisure,Non_Tech
utilidades_domesticas,011c2759ca1a29c74ecd8bfa48d0ac14,58,897,2,450,20,10,20,housewares,Non_Tech
perfumaria,01217a683550744160a91eaa46a92305,58,468,4,1300,25,20,16,perfumery,Non_Tech
utilidades_domesticas,0124d1581f26143e988b8e1a4b7adab7,40,119,1,250,16,22,16,housewares,Non_Tech
relogios_presentes,0127db1f4effcf8f5b88d80588bc5624,53,555,1,200,20,7,15,watches_gifts,Non_Tech
consoles_games,0129d1e9b29d3fe6833cc922374cd252,55,134,1,100,20,3,15,consoles_games,Tech
beleza_saude,012dd0e1c1f14325ee35f06748329355,58,1690,4,490,30,5,25,health_beauty,Non_Tech
utilidades_domesticas,0130c4375ccbe30dbfa676abd076a056,59,1687,3,1038,40,36,13,housewares,Non_Tech
perfumaria,013298e0648d412de0d65690045493bc,52,733,1,350,17,16,17,perfumery,Non_Tech
eletrodomesticos,0134eb6b933b7ebc0f9e24ae5abefaa0,58,290,1,1150,55,19,46,home_appliances,Non_Tech
pet_shop,0135900191d4383219257d6fde585ccf,44,348,1,14475,70,28,48,pet_shop,Non_Tech
relogios_presentes,01365901d8f2247976a7e5d4c98c52c0,60,567,6,250,16,2,20,watches_gifts,Non_Tech
moveis_decoracao,0138b665025e0b24bfa6206d97b0f117,49,930,2,1000,44,4,44,furniture_decor,Non_Tech
moveis_cozinha_area_de_servico_jantar_e_jardim,013b5dd7d319685753e2c12292975615,32,1243,2,10100,65,63,64,kitchen_dining_laundry_garden_furniture,Non_Tech
esporte_lazer,013c4b7963865454407e0c79047636c3,37,220,2,1075,38,10,25,sports_leisure,Non_Tech
esporte_lazer,013cc658e88b36989b48b2bd5f7add59,55,2871,1,1050,30,25,25,sports_leisure,Non_Tech
informatica_acessorios,013e6676e0e3529e5909ff54370daddf,47,619,1,1088,33,20,15,computers_accessories,Non_Tech
cama_mesa_banho,013ee64977aaa6b2b25475095162e0e9,40,519,2,1350,45,10,55,bed_bath_table,Non_Tech
utilidades_domesticas,013fef6ee8c8f3ff998e8f0a950a0495,37,149,1,150,35,16,16,housewares,Non_Tech
moveis_sala,0141015d2469c1c5f9d7d377d1cdb44a,54,529,2,17800,70,15,24,furniture_living_room,Non_Tech
relogios_presentes,0141f5b2fc5389a8b247ae23b58482ef,57,486,6,240,16,11,12,watches_gifts,Non_Tech
cool_stuff,01422266d7a3131403364787ef9dab11,34,177,1,450,40,4,30,cool_stuff,Non_Tech
fashion_calcados,0142fd5bd2e0923cf2dbc73d471dda34,57,404,4,1400,22,12,33,fashion_shoes,Non_Tech
bebes,014a8a503291921f7b004a5215bb3c36,37,497,4,150,16,7,11,baby,Non_Tech
relogios_presentes,014d94f219fbff1166b9cf700eee36b2,50,556,1,400,18,12,12,watches_gifts,Non_Tech
outros,014fcf6bd5cd4c7ee29fb3bb618c445e,NULL,NULL,NULL,7000,55,30,45,others,Non_Tech
esporte_lazer,01503fbd89d42654631476b292b8bc8c,60,2157,3,400,30,30,30,sports_leisure,Non_Tech
alimentos,0152cb427657428c06633fce6d721da4,57,606,3,150,22,4,17,food,Non_Tech
cama_mesa_banho,0152f69b6cf919bcdaf117aa8c43e5a2,40,116,1,250,40,4,30,bed_bath_table,Non_Tech
pet_shop,01545847403c0f1e69d76654d66be35c,60,661,4,450,38,4,38,pet_shop,Non_Tech
utilidades_domesticas,015527ec9502daa03dfd0e22ef1d1288,30,583,1,200,25,10,11,housewares,Non_Tech
telefonia_fixa,01586bfbe1d5449887f1cac4ad1fbd02,47,330,1,125,17,6,13,fixed_telephony,Non_Tech
cool_stuff,01593b27eef404f592e6a3f1174493bf,51,594,1,2000,50,40,30,cool_stuff,Non_Tech
utilidades_domesticas,015dfd6612249811b2e147c1f3be048f,33,912,4,300,17,28,11,housewares,Non_Tech
cama_mesa_banho,015e04445dedbd5da301ef29cbb03f83,52,183,2,550,70,10,40,bed_bath_table,Non_Tech
cama_mesa_banho,015e652da4f31f2f7a051a6de66094c0,53,124,3,700,22,13,16,bed_bath_table,Non_Tech
beleza_saude,015ec57b45a4c3efc70288eb133d623a,52,2668,1,750,28,4,18,health_beauty,Non_Tech
fashion_roupa_masculina,015f06d7b83e5a6f7d1765fb5d8bdfa6,42,574,2,400,16,2,11,fashion_male_clothing,Non_Tech
eletronicos,01604238fbc11ce379e537a76b26bc94,29,510,1,125,21,17,17,electronics,Tech
malas_acessorios,0160785b697a5ea87d52949bd097ce05,48,389,3,14000,26,66,46,luggage_accessories,Non_Tech
beleza_saude,0160814e8c847c018da9cf3e01c271be,52,1363,1,400,16,19,11,health_beauty,Non_Tech
cama_mesa_banho,0164201c7c8b81dc5779e015e2d7be59,52,662,1,600,32,5,30,bed_bath_table,Non_Tech
beleza_saude,016711f78a6a87696645db0a6a834826,14,1366,2,1150,27,22,39,health_beauty,Non_Tech
moveis_decoracao,0167ff78aa8cd40d5432d3daae646c7a,30,195,1,700,33,4,24,furniture_decor,Non_Tech
malas_acessorios,016809bbae76f284266dcffcbb12480b,38,789,3,600,50,5,40,luggage_accessories,Non_Tech
automotivo,0168e1b28d8e55a515928cf656eff0a4,50,340,1,950,22,19,19,auto,Non_Tech
esporte_lazer,016becd5c493d3b3872aaa7294accf52,38,1662,1,1071,17,21,15,sports_leisure,Non_Tech
esporte_lazer,016cae136d358dcdacbd7ac9f1864c09,53,236,2,300,30,5,20,sports_leisure,Non_Tech
automotivo,016f3b29107ed03252e477b08445cec4,56,871,2,3500,25,5,25,auto,Non_Tech
esporte_lazer,017066298c485af1e19e55363f5dc362,41,546,1,100,19,4,11,sports_leisure,Non_Tech
outros,017457b0013d01d5a5a4a020ed1f14b9,NULL,NULL,NULL,2200,28,20,14,others,Non_Tech
eletrodomesticos,0174eb125f49a617bd9c6277e5aa76a9,52,394,1,250,27,13,17,home_appliances,Non_Tech
eletrodomesticos,0176300ac9900e260f35fbddd71c6d92,59,161,1,200,27,12,17,home_appliances,Non_Tech
perfumaria,017692475c1c954ff597feda05131d73,54,933,1,50,16,5,11,perfumery,Non_Tech
cool_stuff,0176bf7839ab4e611dc01cdc3ef6f4e4,49,330,1,1600,33,44,19,cool_stuff,Non_Tech
relogios_presentes,017e3ffa31fcd2f8061fa66a9e486381,53,553,2,700,19,9,15,watches_gifts,Non_Tech
automotivo,017e8dcb2e1a468d46e6e80fd694c5ec,59,570,5,1150,55,12,35,auto,Non_Tech
cool_stuff,0182796b487918d688ba48cf3a0d1bf4,55,330,1,2300,33,44,19,cool_stuff,Non_Tech
bebes,0182db9fc95fd36e324e8a4c40c0819a,54,975,2,2400,35,10,30,baby,Non_Tech
ferramentas_jardim,01847cb3f55acfd629641e58e38e561e,54,1231,6,800,17,10,12,garden_tools,Non_Tech
cama_mesa_banho,01849445c151d94a1f0cfff03c9ed154,60,146,2,1200,34,6,41,bed_bath_table,Non_Tech
cama_mesa_banho,0185e6719ca5c224fc53853997fa3f68,64,319,1,1600,40,15,35,bed_bath_table,Non_Tech
automotivo,0185f302dc17abf603edfe7929a0120a,59,651,5,10600,78,4,47,auto,Non_Tech
automotivo,01880e9ca075037ac0520fb94c07a79a,42,756,5,550,17,5,12,auto,Non_Tech
cama_mesa_banho,01886ce599b5837b3e1966cdafacd080,44,701,2,1000,50,12,12,bed_bath_table,Non_Tech
agro_industria_e_comercio,018ca97302e4293050cc41413194bb19,45,266,1,2467,28,26,24,agro_industry_and_commerce,Non_Tech
utilidades_domesticas,018e4943e4cc9ed099f6fc1a7b65b07d,37,465,2,300,19,12,12,housewares,Non_Tech
livros_importados,019003324f0a201dd2c8962beaf94b6d,56,440,1,250,33,2,23,books_imported,Non_Tech
fashion_calcados,0192191cc1bc83262d6667c54c2e048f,54,404,4,850,22,12,33,fashion_shoes,Non_Tech
bebes,0193fc18d9a6e9b9b0b3a41768fefa12,59,381,6,500,39,6,27,baby,Non_Tech
consoles_games,01948c8dbac93beb665f136bccd530d8,25,1564,1,550,20,30,20,consoles_games,Tech
moveis_decoracao,0198a991deae439205851e71a7b0bdf7,63,157,3,12600,74,8,74,furniture_decor,Non_Tech
cama_mesa_banho,019d8b8866a5555ac955b45ffd35e039,51,425,1,1400,28,9,25,bed_bath_table,Non_Tech
cama_mesa_banho,01a0f7d0d081d619be810e512be45f97,50,138,1,4517,57,17,35,bed_bath_table,Non_Tech
utilidades_domesticas,01a184b7d8422cd95e9cf2a8cff32b5e,60,276,1,1287,32,25,35,housewares,Non_Tech
perfumaria,01a2ad2b54cd734f78cb817da7752d8b,44,280,1,430,19,14,12,perfumery,Non_Tech
cama_mesa_banho,01a5038835acf17f141c7247956b72d6,54,235,1,1350,34,7,32,bed_bath_table,Non_Tech
beleza_saude,01a52711e989a817ab8100ddcf8d2940,46,2771,5,1500,16,35,11,health_beauty,Non_Tech
moveis_decoracao,01a630ec9b9f9387e5a91c1f83bd209b,46,381,2,300,27,13,16,furniture_decor,Non_Tech
automotivo,01a88bd2633c52bcc66348307cb3ae15,44,907,1,11800,61,61,19,auto,Non_Tech
esporte_lazer,01a900ffd5609ad754c38f9dcbce8c6d,43,742,3,700,28,25,25,sports_leisure,Non_Tech
utilidades_domesticas,01a9707790aab6855a6438b92c4c396b,55,244,1,400,16,16,15,housewares,Non_Tech
brinquedos,01a977e282d5884149e79181506c0941,33,168,1,900,23,25,11,toys,Non_Tech
moveis_decoracao,01aa9c122bda45bcbf7edd32fbc36d23,40,275,5,14700,100,55,16,furniture_decor,Non_Tech
informatica_acessorios,01aace6e8152ecaf9eb47678521069c6,60,399,3,475,19,5,15,computers_accessories,Non_Tech
esporte_lazer,01af6a4592d74b6d41ceeede0bd8b417,51,1132,8,6600,105,15,25,sports_leisure,Non_Tech
beleza_saude,01b0238705b6ae8e35c6fea837e6ae4a,57,460,1,900,20,4,11,health_beauty,Non_Tech
papelaria,01b154ceb5457897eb28b9e549f28219,54,447,1,400,25,10,17,stationery,Non_Tech
utilidades_domesticas,01b25153516d822621a92f9ce0b03e17,50,215,3,650,18,20,17,housewares,Non_Tech
utilidades_domesticas,01b660ebc1a0c293ccf9b117fa6dd8bb,26,1175,3,350,60,10,15,housewares,Non_Tech
esporte_lazer,01b8234bc0c131e61acb47932d0bc25f,37,161,3,200,20,15,20,sports_leisure,Non_Tech
cama_mesa_banho,01b864cf36d60d972e2e29d8c5084d64,60,665,1,2400,42,11,36,bed_bath_table,Non_Tech
utilidades_domesticas,01bacce2c74317ed2524bcaabae2e9d4,40,196,2,1000,38,39,38,housewares,Non_Tech
esporte_lazer,01bc2a3c12d6e588aecb54ffad194c13,58,1236,1,4350,20,20,20,sports_leisure,Non_Tech
utilidades_domesticas,01bd9be7c04525d23a4a901b4abbf56c,28,331,1,8150,40,11,40,housewares,Non_Tech
informatica_acessorios,01c2e91674406ebaca6a1bbf7f61c3f0,55,260,1,600,23,16,16,computers_accessories,Non_Tech
bebes,01c3486b189d16ad1b35270d5881e5a4,59,869,3,9750,38,38,35,baby,Non_Tech
brinquedos,01c666c82f414c762ad21bffa56e8b49,55,242,2,50,25,11,15,toys,Non_Tech
beleza_saude,01c69d0fbb0d9d8f42ac171ac1238233,52,416,1,30000,55,75,61,health_beauty,Non_Tech
ferramentas_jardim,01c96f284d6c40f92f25142a59328511,47,2179,3,3750,27,19,22,garden_tools,Non_Tech
brinquedos,01c9a70868bec5b748c67fcc26ce5895,39,601,2,750,30,17,30,toys,Non_Tech
malas_acessorios,01caf54032309b518a584331b8a673f6,45,223,1,800,46,10,32,luggage_accessories,Non_Tech
construcao_ferramentas_iluminacao,01cb96c64e8e35f29826a58963f6ecc5,39,990,2,7100,43,23,43,construction_tools_lights,Non_Tech
informatica_acessorios,01cda14e6051f3dcf61bb80abf210b79,60,53,1,150,17,9,12,computers_accessories,Non_Tech
